config_jpeg,True detect,No detect,False detect
Forged_None,785.0,215.0,0.0
Forged_95,632.0,368.0,0.0
Forged_90,659.0,341.0,0.0
Unforged_None,1000.0,0.0,0.0
Unforged_95,378.0,0.0,622.0
Unforged_90,254.0,0.0,746.0
