config_jpeg,True detect,No detect,False detect
Forged_None,938.0,62.0,0.0
Forged_95,865.0,135.0,0.0
Forged_90,890.0,110.0,0.0
Unforged_None,1000.0,0.0,0.0
Unforged_95,376.0,0.0,624.0
Unforged_90,236.0,0.0,764.0
